symbol,shortName,longName,marketCap,regularMarketPrice,currency,mcap_cr
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Pidilite Industries Limited,1531680784384,1503.8,INR,153168.1
ABB.NS,ABB INDIA LIMITED,ABB India Limited,1497344507904,7066.0,INR,149734.5
JIOFIN.NS,JIO FIN SERVICES LTD,Jio Financial Services Limited,1493036302336,226.11,INR,149303.6
VBL.NS,VARUN BEVERAGES LIMITED,Varun Beverages Limited,1460561117184,431.8,INR,146056.1
BHEL.NS,BHEL,Bharat Heavy Electricals Limited,1436525133824,412.55,INR,143652.5
TATACAP.NS,TATA CAPITAL LIMITED,Tata Capital Limited,1421236240384,337.05,INR,142123.6
TRENT.NS,TRENT LTD,Trent Limited,1419890917376,2662.8,INR,141989.1
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,Cholamandalam Investment and Finance Company Limited,1405792550912,1646.0,INR,140579.3
CGPOWER.NS,CG POWER AND IND SOL LTD,CG Power and Industrial Solutions Limited,1385230499840,879.25,INR,138523.0
POWERINDIA.NS,HITACHI ENERGY INDIA LTD,Hitachi Energy India Limited,1379514712064,30950.0,INR,137951.5
CUMMINSIND.NS,CUMMINS INDIA LTD,Cummins India Limited,1373387358208,4954.5,INR,137338.7
TECHM.NS,TECH MAHINDRA LIMITED,Tech Mahindra Limited,1372384002048,1549.1,INR,137238.4
UNIONBANK.NS,UNION BANK OF INDIA,Union Bank of India,1369087279104,179.35,INR,136908.7
SIEMENS.NS,SIEMENS LTD,Siemens Limited,1364831895552,3832.5,INR,136483.2
PNB.NS,PUNJAB NATIONAL BANK,Punjab National Bank,1338927874048,116.5,INR,133892.8
BPCL.NS,BHARAT PETROLEUM CORP  LT,Bharat Petroleum Corporation Limited,1308479193088,306.25,INR,130847.9
BSE.NS,BSE LIMITED,BSE Limited,1284870635520,3163.7,INR,128487.1
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,Apollo Hospitals Enterprise Limited,1273356877824,8856.0,INR,127335.7
POLYCAB.NS,POLYCAB INDIA LIMITED,Polycab India Limited,1265033150464,8398.0,INR,126503.3
BANKBARODA.NS,BANK OF BARODA,Bank of Baroda Limited,1216459571200,235.23,INR,121646.0
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVS LTD,Bajaj Holdings & Investment Limited,1204752220160,10825.0,INR,120475.2
LTM.NS,LTM LIMITED,LTM Limited,1201972314112,4054.4,INR,120197.2
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LTD,Zydus Lifesciences Limited,1192316370944,1195.3,INR,119231.6
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Britannia Industries Limited,1181579345920,4905.5,INR,118157.9
JINDALSTEL.NS,JINDAL STEEL LIMITED,Jindal Steel Limited,1176826806272,1156.6,INR,117682.7
ENRIN.NS,SIEMENS ENERGY INDIA LTD,Siemens Energy India Limited,1168787505152,3282.0,INR,116878.8
TATAPOWER.NS,TATA POWER CO LTD,The Tata Power Company Limited,1165819641856,364.85,INR,116582.0
LGEINDIA.NS,LG ELECTRONICS INDIA LTD,LG Electronics India Limited,1164298420224,1715.3,INR,116429.8
LENSKART.NS,LENSKART SOLUTIONS LTD,Lenskart Solutions Limited,1160757510144,670.4,INR,116075.8
GROWW.NS,BILLIONBRAINS GARAGE VN L,Billionbrains Garage Ventures Limited,1153614741504,186.32,INR,115361.5
HDFCLIFE.NS,HDFC LIFE INS CO LTD,HDFC Life Insurance Company Limited,1152272039936,530.5,INR,115227.2
LODHA.NS,LODHA DEVELOPERS LIMITED,Lodha Developers Limited,1153903099904,1154.8,INR,115390.3
CANBK.NS,CANARA BANK,Canara Bank,1134012792832,125.02,INR,113401.3
