symbol,pole_date,pole_low,pole_high,pole_high_date,pole_gain,flag_bars,flag_end_date,rail,rail_slope_pct,sweep_date,sweep_low,sweep_below_pct,entry_date,entry,stop,target,risk_pct,reward_R,atr,status,bars_since_entry,vol_x20,sweep_bars,sweep_red,sweep_red_frac,sweep_vol_x20,sweep_vol_vs_drift,sweep_close_pos,sweep_leg_pct,turnover_cr,entry_gt_prior_high,entry_gt_flush_high,entry_vs_rail_pct,rebased,rebased_from,R_voided,outcome,R,ret_horizon,mfe,mae,bars_held,R_struct,outcome_struct,bars_held_struct,entry_idx,sweep_idx,flag_end_idx,pole_idx,trigger_mode,last_close,pnl_pct,voided_setups,shortName,mcap_cr,watchlist,year,nifty_bull
CARRARO.NS,2026-04-15,443.0,667.55,2026-04-16,0.5069,31,2026-06-01,535.0,0.005,2026-08-11,492.25,-7.99,2026-08-28,557.8,484.31,667.55,13.18,1.49,15.89,DONE,,3.35,52,31,0.6,7.11,23.96,0.78,-7.4,8.38,True,True,4.26,1,2026-06-17,-0.74,open,-0.04354367143914079,-0.0057,0.0265,-0.0927,18,,open,18,414,350,350,318,rail_reclaim,554.5999755859375,-0.0057368670026218815,"[Setup(symbol='CARRARO.NS', pole_date='2026-04-15', pole_low=443.0, pole_high=667.55, pole_high_date='2026-04-16', pole_gain=0.5069, flag_bars=31, flag_end_date='2026-06-01', rail=535.0, rail_slope_pct=0.005, sweep_date='2026-08-11', sweep_low=492.25, sweep_below_pct=-7.99, entry_date='2026-06-17', entry=540.65, stop=483.04, target=667.55, risk_pct=10.66, reward_R=2.2, atr=18.43, status='DONE', bars_since_entry=nan, vol_x20=0.23, sweep_bars=52, sweep_red=31, sweep_red_frac=0.6, sweep_vol_x20=7.11, sweep_vol_vs_drift=23.96, sweep_close_pos=0.78, sweep_leg_pct=-7.4, turnover_cr=8.38, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.74, ret_horizon=-0.0196, mfe=0.1281, mae=-0.0895, bars_held=38, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=362, sweep_idx=350, flag_end_idx=-1, pole_idx=-1)]",CARRARO INDIA LIMITED,3127.1,False,2026,False
JUSTDIAL.NS,2026-07-13,522.15,838.3,2026-07-15,0.6055,15,2026-08-05,700.1,-0.524,2026-08-27,637.3,-8.97,2026-08-28,704.55,626.71,838.3,11.05,1.72,21.17,DONE,,3.77,17,12,0.71,0.58,2.53,0.25,-2.95,18.58,True,True,0.64,2,"2026-08-10,2026-08-20",-1.15,open,-0.14131567583544727,-0.0156,0.0418,-0.0819,18,,open,18,2635,2618,2618,2601,first_bullish,693.5499877929688,-0.015612819824045387,"[Setup(symbol='JUSTDIAL.NS', pole_date='2026-07-13', pole_low=522.15, pole_high=838.3, pole_high_date='2026-07-15', pole_gain=0.6055, flag_bars=15, flag_end_date='2026-08-05', rail=700.1, rail_slope_pct=-0.524, sweep_date='2026-08-27', sweep_low=637.3, sweep_below_pct=-8.97, entry_date='2026-08-10', entry=687.55, stop=638.13, target=838.3, risk_pct=7.19, reward_R=3.05, atr=27.74, status='DONE', bars_since_entry=nan, vol_x20=0.04, sweep_bars=17, sweep_red=12, sweep_red_frac=0.71, sweep_vol_x20=0.58, sweep_vol_vs_drift=2.53, sweep_close_pos=0.25, sweep_leg_pct=-2.95, turnover_cr=18.58, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.53, ret_horizon=-0.0071, mfe=0.0676, mae=-0.0731, bars_held=6, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2621, sweep_idx=2618, flag_end_idx=-1, pole_idx=-1), Setup(symbol='JUSTDIAL.NS', pole_date='2026-07-13', pole_low=522.15, pole_high=838.3, pole_high_date='2026-07-15', pole_gain=0.6055, flag_bars=15, flag_end_date='2026-08-05', rail=700.1, rail_slope_pct=-0.524, sweep_date='2026-08-27', sweep_low=637.3, sweep_below_pct=-8.97, entry_date='2026-08-20', entry=680.65, stop=627.06, target=838.3, risk_pct=7.87, reward_R=2.94, atr=20.48, status='DONE', bars_since_entry=nan, vol_x20=0.58, sweep_bars=17, sweep_red=12, sweep_red_frac=0.71, sweep_vol_x20=0.58, sweep_vol_vs_drift=2.53, sweep_close_pos=0.25, sweep_leg_pct=-2.95, turnover_cr=18.58, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.62, ret_horizon=0.019, mfe=0.0784, mae=-0.0637, bars_held=4, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2629, sweep_idx=2618, flag_end_idx=-1, pole_idx=-1)]",JUSTDIAL LTD.,5718.3,False,2026,False
JUSTDIAL.NS,2026-07-13,522.15,838.3,2026-07-15,0.6055,15,2026-08-05,700.1,-0.524,2026-08-27,637.3,-8.97,2026-08-28,704.55,626.71,838.3,11.05,1.72,21.17,DONE,,3.77,17,12,0.71,0.58,2.53,0.25,-2.95,18.58,True,True,0.64,0,,0.0,open,-0.14131567583544727,-0.0156,0.0418,-0.0819,18,,open,18,2635,2618,2618,2601,rail_reclaim,693.5499877929688,-0.015612819824045387,,JUSTDIAL LTD.,5718.3,False,2026,False
TSFINV.NS,2026-06-29,389.8,492.0,2026-07-10,0.2622,8,2026-07-22,460.6,-0.259,2026-08-27,399.15,-13.34,2026-08-28,407.2,394.13,492.0,3.21,6.49,10.03,DONE,,0.68,27,19,0.7,1.45,4.0,0.38,-5.5,3.16,False,False,-11.59,2,"2026-07-28,2026-08-17",-1.2,open,4.1966325778859055,0.1347,0.1477,-0.0246,18,,open,18,2083,2056,2056,2039,first_bullish,462.04998779296875,0.13470036294933396,"[Setup(symbol='TSFINV.NS', pole_date='2026-06-29', pole_low=389.8, pole_high=492.0, pole_high_date='2026-07-10', pole_gain=0.2622, flag_bars=8, flag_end_date='2026-07-22', rail=460.6, rail_slope_pct=-0.259, sweep_date='2026-08-27', sweep_low=399.15, sweep_below_pct=-13.34, entry_date='2026-07-28', entry=446.55, stop=400.73, target=492.0, risk_pct=10.26, reward_R=0.99, atr=17.74, status='DONE', bars_since_entry=nan, vol_x20=0.39, sweep_bars=27, sweep_red=19, sweep_red_frac=0.7, sweep_vol_x20=1.45, sweep_vol_vs_drift=4.0, sweep_close_pos=0.38, sweep_leg_pct=-5.5, turnover_cr=3.16, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.63, ret_horizon=-0.0543, mfe=0.0559, mae=-0.1105, bars_held=11, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2060, sweep_idx=2056, flag_end_idx=-1, pole_idx=-1), Setup(symbol='TSFINV.NS', pole_date='2026-06-29', pole_low=389.8, pole_high=492.0, pole_high_date='2026-07-10', pole_gain=0.2622, flag_bars=8, flag_end_date='2026-07-22', rail=460.6, rail_slope_pct=-0.259, sweep_date='2026-08-27', sweep_low=399.15, sweep_below_pct=-13.34, entry_date='2026-08-17', entry=420.4, stop=391.87, target=492.0, risk_pct=6.79, reward_R=2.51, atr=14.57, status='DONE', bars_since_entry=nan, vol_x20=0.97, sweep_bars=27, sweep_red=19, sweep_red_frac=0.7, sweep_vol_x20=1.45, sweep_vol_vs_drift=4.0, sweep_close_pos=0.38, sweep_leg_pct=-5.5, turnover_cr=3.16, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.57, ret_horizon=0.0991, mfe=0.1117, mae=-0.0552, bars_held=8, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=2074, sweep_idx=2056, flag_end_idx=-1, pole_idx=-1)]",TSF INVESTMENTS LIMITED,10083.4,False,2026,False
UEL.NS,2026-07-31,117.51,284.2,2026-08-11,1.4185,6,2026-08-19,211.36,-4.172,2026-08-26,157.1,-25.67,2026-09-02,219.15,151.76,284.2,30.75,0.97,10.68,DONE,,1.79,6,1,0.17,0.95,5.69,1.0,-5.0,0.56,True,True,3.69,0,,0.0,open,-0.40495621590218783,-0.1245,0.1216,-0.1494,15,,open,15,2637,2627,2627,2614,rail_reclaim,191.86000061035156,-0.12452657718297255,,UJAAS ENERGY LIMITED,2509.1,False,2026,False
EMSLIMITED.NS,2026-06-22,294.5,453.0,2026-06-23,0.5382,37,2026-08-13,380.0,-0.141,2026-08-17,358.05,-5.78,2026-09-02,386.8,350.1,453.0,9.49,1.8,15.9,DONE,,20.17,3,1,0.33,1.75,5.98,0.57,-3.36,23.25,True,True,1.79,0,,0.0,open,-0.5572205421385393,-0.0529,0.0314,-0.0813,15,,open,15,730,716,716,678,rail_reclaim,366.3500061035156,-0.0528696843238996,,EMS LIMITED,1991.3,False,2026,False
IXIGO.NS,2026-06-12,151.27,197.8,2026-06-23,0.3076,47,2026-08-27,166.42,-0.375,2026-09-02,155.76,-6.41,2026-09-03,162.15,153.29,197.8,5.46,4.03,4.93,DONE,,1.69,5,4,0.8,1.94,3.6,0.17,-3.23,23.29,True,True,-2.57,1,2026-08-31,-0.45,open,0.19751624113819036,0.0108,0.0572,-0.0371,14,,open,14,553,548,548,494,first_bullish,163.89999389648438,0.010792438461204812,"[Setup(symbol='IXIGO.NS', pole_date='2026-06-12', pole_low=151.27, pole_high=197.8, pole_high_date='2026-06-23', pole_gain=0.3076, flag_bars=47, flag_end_date='2026-08-27', rail=166.42, rail_slope_pct=-0.375, sweep_date='2026-09-02', sweep_low=155.76, sweep_below_pct=-6.41, entry_date='2026-08-31', entry=163.02, stop=153.24, target=197.8, risk_pct=6.0, reward_R=3.56, atr=5.04, status='DONE', bars_since_entry=nan, vol_x20=0.91, sweep_bars=5, sweep_red=4, sweep_red_frac=0.8, sweep_vol_x20=1.94, sweep_vol_vs_drift=3.6, sweep_close_pos=0.17, sweep_leg_pct=-3.23, turnover_cr=23.29, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.45, ret_horizon=0.0054, mfe=0.0515, mae=-0.0445, bars_held=1, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=550, sweep_idx=548, flag_end_idx=-1, pole_idx=-1)]",LE TRAVENUES TECHNOLOGY L,7026.3,False,2026,False
ITDC.NS,2026-07-07,582.9,822.0,2026-07-20,0.4102,30,2026-08-31,657.0,-0.347,2026-09-09,627.1,-4.55,2026-09-10,664.6,614.73,822.0,7.5,3.16,24.75,DONE,,32.47,8,5,0.62,0.84,6.85,0.27,-3.31,55.59,True,True,1.16,0,,0.0,open,0.7629842473242926,0.0573,0.0984,-0.0469,9,,open,9,2398,2390,2390,2351,rail_reclaim,702.6500244140625,0.05725251943133092,,INDIA TOUR. DEV. CO. LTD.,5881.6,False,2026,False
SUMICHEM.NS,2026-07-03,411.55,549.75,2026-07-16,0.3358,9,2026-07-29,515.0,-0.358,2026-09-16,446.75,-13.25,2026-09-16,454.05,440.0,549.75,3.1,6.81,13.51,DONE,,0.93,36,25,0.69,3.19,13.4,0.69,-5.13,12.13,False,False,-11.83,2,"2026-07-30,2026-09-10",-1.16,open,0.7224207976534683,0.0224,0.0329,-0.0076,5,,open,5,1647,1612,1612,1594,first_bullish,464.20001220703125,0.022354393143995788,"[Setup(symbol='SUMICHEM.NS', pole_date='2026-07-03', pole_low=411.55, pole_high=549.75, pole_high_date='2026-07-16', pole_gain=0.3358, flag_bars=9, flag_end_date='2026-07-29', rail=515.0, rail_slope_pct=-0.358, sweep_date='2026-09-16', sweep_low=446.75, sweep_below_pct=-13.25, entry_date='2026-07-30', entry=508.4, stop=463.12, target=549.75, risk_pct=8.91, reward_R=0.91, atr=20.05, status='DONE', bars_since_entry=nan, vol_x20=0.56, sweep_bars=36, sweep_red=25, sweep_red_frac=0.69, sweep_vol_x20=3.19, sweep_vol_vs_drift=13.4, sweep_close_pos=0.69, sweep_leg_pct=-5.13, turnover_cr=12.13, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.45, ret_horizon=-0.0541, mfe=0.1252, mae=-0.1213, bars_held=27, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1613, sweep_idx=1612, flag_end_idx=-1, pole_idx=-1), Setup(symbol='SUMICHEM.NS', pole_date='2026-07-03', pole_low=411.55, pole_high=549.75, pole_high_date='2026-07-16', pole_gain=0.3358, flag_bars=9, flag_end_date='2026-07-29', rail=515.0, rail_slope_pct=-0.358, sweep_date='2026-09-16', sweep_low=446.75, sweep_below_pct=-13.25, entry_date='2026-09-10', entry=480.9, stop=439.92, target=549.75, risk_pct=8.52, reward_R=1.68, atr=13.66, status='DONE', bars_since_entry=nan, vol_x20=3.19, sweep_bars=36, sweep_red=25, sweep_red_frac=0.69, sweep_vol_x20=3.19, sweep_vol_vs_drift=13.4, sweep_close_pos=0.69, sweep_leg_pct=-5.13, turnover_cr=12.13, entry_gt_prior_high=False, entry_gt_flush_high=False, entry_vs_rail_pct=nan, rebased=0, rebased_from='', R_voided=0.0, outcome='voided', R=-0.71, ret_horizon=-0.0347, mfe=-0.0019, mae=-0.071, bars_held=3, R_struct=nan, outcome_struct='', bars_held_struct=nan, entry_idx=1643, sweep_idx=1612, flag_end_idx=-1, pole_idx=-1)]",SUMITOMO CHEM INDIA LTD,22446.6,False,2026,False
MARATHON.NS,2026-08-24,344.05,461.5,2026-09-07,0.3414,6,2026-09-15,428.0,-0.181,2026-09-16,397.25,-7.18,2026-09-16,415.05,388.05,461.5,6.51,1.72,18.4,DONE,,0.2,2,1,0.5,0.2,0.92,0.79,-4.93,6.9,False,False,-3.03,0,,0.0,open,0.16111088505497642,0.0105,0.0283,-0.0236,5,,open,5,2465,2464,2464,2448,first_bullish,419.3999938964844,0.010480650274627967,,MARATHON NXTGEN REALT LTD,2770.6,False,2026,False
ZENSARTECH.NS,2026-07-03,423.0,558.0,2026-07-14,0.3191,41,2026-09-09,448.0,-0.337,2026-09-11,421.0,-6.03,2026-09-16,450.15,412.86,558.0,8.28,2.89,16.27,DONE,,3.95,3,3,1.0,1.42,4.75,0.36,-3.02,153.05,False,True,0.48,0,,0.0,open,-0.5202467149369803,-0.0431,0.0,-0.0523,5,,open,5,2648,2643,2643,2595,first_bullish,430.75,-0.04309674552926801,,ZENSAR TECHNOLOGIES  LTD,9583.4,False,2026,False
